time,logistic_discrete,gompertz_discrete
0.0,10.0,10.0
0.01,10.0198,10.092103403719761
0.02,10.03963880721592,10.184870058618523
0.03,10.059516496135593,10.278303041560086
0.04,10.079433141383593,10.372405430545298
0.05,10.099388817721456,10.467180304617287
0.06,10.119383600047916,10.562630743766428
0.07,10.139417563399123,10.658759828835052
0.08,10.159490782948872,10.755570641421887
0.09,10.179603334008831,10.85306626378626
0.1,10.199755292028774,10.951249778752056
0.11,10.219946732596798,11.05012426961142
0.12,10.240177731439557,11.149692820028243
0.13,10.260448364422492,11.24995851394141
0.14,10.28075870755006,11.350924435467824
0.15,10.301108836965954,11.452593668805223
0.16,10.321498828953343,11.554969298134763
0.17,10.341928759935097,11.65805440752342
0.18,10.362398706474016,11.761852080826168
0.19,10.38290874527306,11.86636540158798
0.2,10.40345895317558,11.971597452945629
0.21,10.42404940716555,12.077551317529295
0.22,10.444680184367794,12.184230077364022
0.23,10.465351362048223,12.29163681377097
0.24,10.486063017614057,12.399774607268515
0.25,10.506815228614068,12.508646537473194
0.26,10.527608072738799,12.618255683000475
0.27,10.54844162782081,12.72860512136539
0.28,10.569315971834902,12.839697928883021
0.29,10.590231182898346,12.951537180568842
0.3,10.611187339271128,13.064125950038932
0.31,10.632184519356171,13.177467309410057
0.32,10.653222801699576,13.291564329199632
0.33,10.67430226499085,13.406420078225567
0.34,10.695422988063143,13.522037623506
0.35000000000000003,10.716585049893482,13.638420030158922
0.36,10.737788529603005,13.755570361301716
0.37,10.759033506457198,13.873491677950584
0.38,10.780320059866126,13.9921870389199
0.39,10.801648269384671,14.111659500721471
0.4,10.82301821471277,14.231912117463732
0.41000000000000003,10.844429975695643,14.352947940750866
0.42,10.865883632324039,14.47477001958185
0.43,10.887379264734465,14.597381400249459
0.44,10.908916953209426,14.720785126239203
0.45,10.93049677817766,14.844984238128221
0.46,10.95211882021438,14.969981773484138
0.47000000000000003,10.973783160041505,15.095780766763871
0.48,10.9954898785279,15.222384249212427
0.49,11.017239056689618,15.349795248761652
0.5,11.039030775690133,15.478016789928985
0.51,11.06086511684058,15.607051893716179
0.52,11.082742161599995,15.736903577508023
0.53,11.104661991575554,15.86757485497107
0.54,11.126624688522812,15.999068735952347
0.55,11.148630334345938,16.131388226378103
0.56,11.170679011097967,16.26453632815255
0.5700000000000001,11.192770800981025,16.398516039056634
0.58,11.21490578634658,16.533330352646843
0.59,11.23708404969568,16.668982258154017
0.6,11.259305673679192,16.805474740382238
0.61,11.281570741098044,16.94281077960773
0.62,11.303879334903467,17.080993351477826
0.63,11.326231538197238,17.22002542690998
0.64,11.348627434231918,17.35990997199086
0.65,11.3710671064111,17.50064994787547
0.66,11.393550638289646,17.642248310686394
0.67,11.416078113573931,17.78470801141308
0.68,11.438649616122088,17.92803199581121
0.6900000000000001,11.461265229944251,18.07222320430219
0.7000000000000001,11.483925039202797,18.217284571872693
0.71,11.506629128212591,18.363219027974335
0.72,11.529377581441228,18.510029496423446
0.73,11.552170483509279,18.657718895300945
0.74,11.575007919190538,18.806290136852347
0.75,11.597889973412261,18.955746127387872
0.76,11.620816731255415,19.106089767182706
0.77,11.643788277954924,19.257323950377383
0.78,11.66680469889991,19.409451564878303
0.79,11.689866079633944,19.5624754922584
0.8,11.712972505855292,19.716398607657965
0.81,11.736124063417158,19.87122377968561
0.8200000000000001,11.759320838327929,20.02695387031941
0.8300000000000001,11.782562916751427,20.1835917348082
0.84,11.805850385007156,20.341140221573042
0.85,11.829183329570544,20.499602172108887
0.86,11.852561837073196,20.658980420886394
0.87,11.87598599430314,20.819277795253953
0.88,11.899455888205072,20.980497115339904
0.89,11.922971605880612,21.142641193954944
0.9,11.946533234588545,21.305712836494738
0.91,11.97014086174507,21.469714840842745
0.92,11.993794574924062,21.63464999727326
0.93,12.017494461857298,21.80052108835467
0.9400000000000001,12.04124061043473,21.96733088885294
0.9500000000000001,12.065033108704723,22.135082165635307
0.96,12.088872044874304,22.303777677574253
0.97,12.112757507309418,22.473420175451675
0.98,12.136689584535175,22.64401240186332
0.99,12.160668365236102,22.815557091123477
1.0,12.184693938256396,22.988056969169897
1.01,12.208766392600172,23.161514753469007
1.02,12.232885817431715,23.335933152921363
1.03,12.257052302075733,23.511314867767396
1.04,12.281265936017613,23.687662589493403
1.05,12.305526808903666,23.864979000737854
1.06,12.329835010541384,24.043266775197957
1.07,12.354190630899692,24.222528577536522
1.08,12.378593760109203,24.402767063289126
1.09,12.403044488462465,24.58398487877156
1.1,12.427542906414224,24.7661846609876
1.11,12.452089104581672,24.94936903753709
1.12,12.476683173744698,25.1335406265243
1.1300000000000001,12.501325204846152,25.318702036466664
1.1400000000000001,12.52601528899209,25.50485586620378
1.1500000000000001,12.550753517452033,25.692004704806777
1.16,12.575539981659226,25.880151131488013
1.17,12.600374773210884,26.069297715511084
1.18,12.625257983868455,26.259447016101202
1.19,12.650189705557873,26.450601582355905
1.2,12.675170030369815,26.642763953156127
1.21,12.700199050559958,26.835936657077607
1.22,12.725276858549229,27.03012221230268
1.23,12.750403546924074,27.22532312653241
1.24,12.775579208436703,27.421541896899107
1.25,12.800803936005355,27.61878100987922
1.26,12.82607782271455,27.817042941206587
1.27,12.85140096181535,28.016330155786076
1.28,12.876773446725618,28.216645107607622
1.29,12.902195371030272,28.41799023966065
1.3,12.927666828481549,28.620367983848876
1.31,12.953187912999255,28.823780760905525
1.32,12.978758718671035,29.02823098030894
1.33,13.004379339752623,29.23372104019861
1.34,13.030049870668103,29.440253327291586
1.35,13.055770406010176,29.647830216799342
